Date, Open, High, Low, Close, Volume
05/14/21, 413.21, 417.49, 413.18, 416.58, 82079297
05/13/21, 407.07, 412.35, 407.02, 410.28, 106394000
05/12/21, 411.23, 412.59, 404.00, 405.41, 134811016
05/11/21, 413.10, 415.27, 410.06, 414.21, 116888000
05/10/21, 422.50, 422.74, 417.81, 417.94, 81852445
05/07/21, 419.89, 422.815, 419.16, 422.12, 67733789
05/06/21, 415.83, 419.21, 413.675, 419.07, 74321367
05/05/21, 417.38, 417.63, 414.94, 415.75, 60284660
05/04/21, 416.07, 416.60, 411.67, 415.62, 101591203
05/03/21, 419.43, 419.84, 417.665, 418.20, 68128289
04/30/21, 417.63, 418.54, 416.34, 417.30, 85527031
04/29/21, 420.32, 420.72, 416.44, 420.06, 78544328
04/28/21, 417.81, 419.01, 416.90, 417.40, 51238848
04/27/21, 417.93, 418.14, 416.30, 417.52, 51303059
04/26/21, 417.44, 418.22, 416.8111, 417.61, 52182391
04/23/21, 412.87, 418.25, 412.79, 416.74, 73276203
04/22/21, 415.89, 416.78, 411.13, 412.27, 97582789
04/21/21, 411.51, 416.29, 411.36, 416.07, 66792977
04/20/21, 413.91, 415.0859, 410.59, 412.17, 81851828
04/19/21, 416.26, 416.74, 413.79, 415.21, 78498492
04/16/21, 417.25, 417.91, 415.73, 417.26, 82037281
04/15/21, 413.74, 416.16, 413.69, 415.87, 60229840
04/14/21, 412.83, 413.96, 410.87, 411.45, 61659910
04/13/21, 411.53, 413.529, 411.12, 412.86, 56550992
04/12/21, 410.85, 411.93, 410.20, 411.64, 56704898
04/09/21, 408.39, 411.67, 408.26, 411.49, 61104559
04/08/21, 407.93, 408.58, 406.93, 408.52, 57863113
04/07/21, 405.94, 406.96, 405.45, 406.59, 55836281
04/06/21, 405.76, 407.24, 405.40, 406.12, 62020953
04/05/21, 403.46, 406.94, 403.38, 406.36, 91684758
04/01/21, 398.40, 400.67, 398.18, 400.61, 99682883
03/31/21, 395.34, 398.00, 395.31, 396.33, 112734203
03/30/21, 394.42, 395.45, 393.02, 394.73, 76262250
03/29/21, 394.40, 396.75, 392.81, 395.78, 108107602
03/26/21, 390.93, 396.41, 390.29, 395.98, 114409102
03/25/21, 385.98, 390.55, 383.90, 389.70, 116128602
03/24/21, 391.00, 392.75, 387.47, 387.52, 97588641
03/23/21, 391.91, 393.46, 388.66, 389.50, 90686555
03/22/21, 390.03, 394.07, 389.97, 392.59, 73778648
03/19/21, 389.88, 391.569, 387.15, 389.48, 113624492
03/18/21, 394.475, 396.72, 390.75, 391.48, 115349102
03/17/21, 394.53, 398.12, 393.30, 397.26, 97959273
03/16/21, 397.07, 397.83, 395.08, 395.91, 73722516
03/15/21, 394.33, 396.685, 392.03, 396.41, 73592305
03/12/21, 392.07, 394.21, 391.20, 394.06, 64653566
03/11/21, 392.23, 395.65, 391.74, 393.53, 86245039
03/10/21, 389.69, 391.40, 388.1702, 389.58, 109899398
03/09/21, 385.85, 389.91, 381.7299, 387.17, 113633602
03/08/21, 384.66, 387.68, 381.42, 381.72, 123149203
03/05/21, 380.46, 384.76, 372.64, 383.63, 152039594
03/04/21, 381.22, 384.00, 371.88, 376.70, 183432984
03/03/21, 385.79, 386.83, 381.31, 381.42, 119940203
03/02/21, 389.82, 390.07, 386.00, 386.54, 79595328
03/01/21, 385.59, 390.92, 380.572, 389.58, 105348797
02/26/21, 384.35, 385.58, 378.23, 380.36, 152701594
02/25/21, 390.41, 391.88, 380.7789, 382.33, 146670500
02/24/21, 386.33, 392.23, 385.27, 391.77, 72433953
02/23/21, 384.66, 388.945, 380.20, 387.50, 107284094
02/22/21, 387.06, 389.62, 386.74, 387.03, 67414172
02/19/21, 392.07, 392.38, 389.55, 390.03, 83240969
02/18/21, 389.59, 391.515, 387.74, 390.72, 59712770
02/17/21, 390.42, 392.66, 389.33, 392.39, 52806680
02/16/21, 393.96, 394.17, 391.53, 392.30, 50972367
